,location,date,vaccine,total_vaccinations
4281,Bulgaria,2021-08-13,Oxford/AstraZeneca,477047
4282,Bulgaria,2021-08-13,Pfizer/BioNTech,1306415
4283,Bulgaria,2021-08-20,Johnson&Johnson,116879
4284,Bulgaria,2021-08-20,Moderna,274759
4285,Bulgaria,2021-08-20,Oxford/AstraZeneca,477386
4286,Bulgaria,2021-08-20,Pfizer/BioNTech,1350586
4287,Bulgaria,2021-08-27,Johnson&Johnson,133038
4288,Bulgaria,2021-08-27,Moderna,280393
4289,Bulgaria,2021-08-27,Oxford/AstraZeneca,477682
4290,Bulgaria,2021-08-27,Pfizer/BioNTech,1398289
4291,Bulgaria,2021-09-03,Johnson&Johnson,149801
4292,Bulgaria,2021-09-03,Moderna,286004
4293,Bulgaria,2021-09-03,Oxford/AstraZeneca,477848
4294,Bulgaria,2021-09-03,Pfizer/BioNTech,1441597
4295,Bulgaria,2021-09-10,Johnson&Johnson,162922
4296,Bulgaria,2021-09-10,Moderna,290475
4297,Bulgaria,2021-09-10,Oxford/AstraZeneca,477914
4298,Bulgaria,2021-09-10,Pfizer/BioNTech,1477403
4299,Bulgaria,2021-09-17,Johnson&Johnson,176011
4300,Bulgaria,2021-09-17,Moderna,295088
4301,Bulgaria,2021-09-17,Oxford/AstraZeneca,478043
4302,Bulgaria,2021-09-17,Pfizer/BioNTech,1515275
4303,Bulgaria,2021-09-24,Johnson&Johnson,185898
4304,Bulgaria,2021-09-24,Moderna,298771
4305,Bulgaria,2021-09-24,Oxford/AstraZeneca,478135
4306,Bulgaria,2021-09-24,Pfizer/BioNTech,1546525
4307,Bulgaria,2021-10-01,Johnson&Johnson,195813
4308,Bulgaria,2021-10-01,Moderna,302454
4309,Bulgaria,2021-10-01,Oxford/AstraZeneca,478283
4310,Bulgaria,2021-10-01,Pfizer/BioNTech,1574515
4311,Bulgaria,2021-10-08,Johnson&Johnson,203836
4312,Bulgaria,2021-10-08,Moderna,305331
4313,Bulgaria,2021-10-08,Oxford/AstraZeneca,478322
4314,Bulgaria,2021-10-08,Pfizer/BioNTech,1602024
4315,Bulgaria,2021-10-15,Johnson&Johnson,213953
4316,Bulgaria,2021-10-15,Moderna,308556
4317,Bulgaria,2021-10-15,Oxford/AstraZeneca,478357
4318,Bulgaria,2021-10-15,Pfizer/BioNTech,1628450
4319,Bulgaria,2021-10-22,Johnson&Johnson,255378
4320,Bulgaria,2021-10-22,Moderna,315021
4321,Bulgaria,2021-10-22,Oxford/AstraZeneca,478410
4322,Bulgaria,2021-10-22,Pfizer/BioNTech,1680407
4323,Bulgaria,2021-10-29,Johnson&Johnson,312759
4324,Bulgaria,2021-10-29,Moderna,324072
4325,Bulgaria,2021-10-29,Oxford/AstraZeneca,478474
4326,Bulgaria,2021-10-29,Pfizer/BioNTech,1745754
4327,Bulgaria,2021-11-05,Johnson&Johnson,353234
4328,Bulgaria,2021-11-05,Moderna,332428
4329,Bulgaria,2021-11-05,Pfizer/BioNTech,1802357
4330,Bulgaria,2021-11-12,Johnson&Johnson,379027
4331,Bulgaria,2021-11-12,Moderna,340090
4332,Bulgaria,2021-11-12,Pfizer/BioNTech,1873402
4333,Bulgaria,2021-11-19,Johnson&Johnson,399308
4334,Bulgaria,2021-11-19,Moderna,350165
4335,Bulgaria,2021-11-19,Pfizer/BioNTech,1959107
4336,Bulgaria,2021-11-26,Johnson&Johnson,417244
4337,Bulgaria,2021-11-26,Moderna,363268
4338,Bulgaria,2021-11-26,Pfizer/BioNTech,2037336
4339,Bulgaria,2021-12-03,Johnson&Johnson,430658
4340,Bulgaria,2021-12-03,Moderna,376850
4341,Bulgaria,2021-12-03,Pfizer/BioNTech,2116155
4342,Bulgaria,2021-12-10,Johnson&Johnson,441050
4343,Bulgaria,2021-12-10,Moderna,388824
4344,Bulgaria,2021-12-10,Pfizer/BioNTech,2187827
4345,Bulgaria,2021-12-17,Johnson&Johnson,450804
4346,Bulgaria,2021-12-17,Moderna,400862
4347,Bulgaria,2021-12-17,Pfizer/BioNTech,2260115
4348,Bulgaria,2021-12-24,Johnson&Johnson,460037
4349,Bulgaria,2021-12-24,Moderna,408650
4350,Bulgaria,2021-12-24,Pfizer/BioNTech,2310809
4351,Bulgaria,2021-12-31,Johnson&Johnson,465771
4352,Bulgaria,2021-12-31,Moderna,414300
4353,Bulgaria,2021-12-31,Pfizer/BioNTech,2344709
4354,Bulgaria,2022-01-07,Johnson&Johnson,474859
4355,Bulgaria,2022-01-07,Moderna,435287
4356,Bulgaria,2022-01-07,Pfizer/BioNTech,2466514
4357,Bulgaria,2022-01-14,Johnson&Johnson,483911
4358,Bulgaria,2022-01-14,Moderna,455844
4359,Bulgaria,2022-01-14,Oxford/AstraZeneca,478487
4360,Bulgaria,2022-01-14,Pfizer/BioNTech,2587281
4361,Bulgaria,2022-01-21,Johnson&Johnson,491097
4362,Bulgaria,2022-01-21,Moderna,467316
4363,Bulgaria,2022-01-21,Oxford/AstraZeneca,478497
4364,Bulgaria,2022-01-21,Pfizer/BioNTech,2658996
4365,Bulgaria,2022-01-28,Johnson&Johnson,495847
4366,Bulgaria,2022-01-28,Moderna,473069
4367,Bulgaria,2022-01-28,Oxford/AstraZeneca,478506
4368,Bulgaria,2022-01-28,Pfizer/BioNTech,2708688
4369,Bulgaria,2022-02-04,Johnson&Johnson,499873
4370,Bulgaria,2022-02-04,Moderna,478158
4371,Bulgaria,2022-02-04,Oxford/AstraZeneca,478514
4372,Bulgaria,2022-02-04,Pfizer/BioNTech,2748000
4373,Bulgaria,2022-02-11,Johnson&Johnson,503015
4374,Bulgaria,2022-02-11,Moderna,482349
4375,Bulgaria,2022-02-11,Oxford/AstraZeneca,478515
4376,Bulgaria,2022-02-11,Pfizer/BioNTech,2780245
4377,Bulgaria,2022-02-18,Johnson&Johnson,505783
4378,Bulgaria,2022-02-18,Moderna,485755
4379,Bulgaria,2022-02-18,Oxford/AstraZeneca,478521
4380,Bulgaria,2022-02-18,Pfizer/BioNTech,2803039
4381,Bulgaria,2022-02-25,Johnson&Johnson,507940
4382,Bulgaria,2022-02-25,Moderna,487978
4383,Bulgaria,2022-02-25,Oxford/AstraZeneca,478540
4384,Bulgaria,2022-02-25,Pfizer/BioNTech,2821950
4385,Bulgaria,2022-03-04,Johnson&Johnson,509151
4386,Bulgaria,2022-03-04,Moderna,489241
4387,Bulgaria,2022-03-04,Pfizer/BioNTech,2832387
4388,Bulgaria,2022-03-11,Johnson&Johnson,510369
4389,Bulgaria,2022-03-11,Moderna,490516
4390,Bulgaria,2022-03-11,Pfizer/BioNTech,2842794
4391,Bulgaria,2022-03-18,Johnson&Johnson,511702
4392,Bulgaria,2022-03-18,Moderna,491663
4393,Bulgaria,2022-03-18,Oxford/AstraZeneca,478541
4394,Bulgaria,2022-03-18,Pfizer/BioNTech,2852218
4395,Bulgaria,2022-03-25,Johnson&Johnson,512657
4396,Bulgaria,2022-03-25,Moderna,492733
4397,Bulgaria,2022-03-25,Pfizer/BioNTech,2860086
4398,Bulgaria,2022-04-01,Johnson&Johnson,513640
4399,Bulgaria,2022-04-01,Moderna,493580
4400,Bulgaria,2022-04-01,Pfizer/BioNTech,2866929
4401,Bulgaria,2022-04-08,Johnson&Johnson,514556
4402,Bulgaria,2022-04-08,Moderna,494428
4403,Bulgaria,2022-04-08,Pfizer/BioNTech,2873558
4404,Bulgaria,2022-04-15,Johnson&Johnson,515710
4405,Bulgaria,2022-04-15,Moderna,495290
4406,Bulgaria,2022-04-15,Oxford/AstraZeneca,478546
4407,Bulgaria,2022-04-15,Pfizer/BioNTech,2880310
4408,Bulgaria,2022-04-22,Johnson&Johnson,516452
4409,Bulgaria,2022-04-22,Moderna,495639
4410,Bulgaria,2022-04-22,Oxford/AstraZeneca,478547
4411,Bulgaria,2022-04-22,Pfizer/BioNTech,2884807
4412,Bulgaria,2022-04-29,Johnson&Johnson,517267
4413,Bulgaria,2022-04-29,Moderna,496060
4414,Bulgaria,2022-04-29,Pfizer/BioNTech,2889736
4415,Bulgaria,2022-05-06,Johnson&Johnson,517842
4416,Bulgaria,2022-05-06,Moderna,496312
4417,Bulgaria,2022-05-06,Pfizer/BioNTech,2892522
4418,Bulgaria,2022-05-13,Johnson&Johnson,518512
4419,Bulgaria,2022-05-13,Moderna,496724
4420,Bulgaria,2022-05-13,Pfizer/BioNTech,2896467
4421,Bulgaria,2022-05-20,Johnson&Johnson,519038
4422,Bulgaria,2022-05-20,Moderna,496962
4423,Bulgaria,2022-05-20,Pfizer/BioNTech,2899474
4424,Bulgaria,2022-05-27,Johnson&Johnson,519513
4425,Bulgaria,2022-05-27,Moderna,497111
4426,Bulgaria,2022-05-27,Pfizer/BioNTech,2901680
4427,Bulgaria,2022-06-03,Johnson&Johnson,519962
4428,Bulgaria,2022-06-03,Moderna,497209
4429,Bulgaria,2022-06-03,Pfizer/BioNTech,2903788
4430,Bulgaria,2022-06-10,Johnson&Johnson,520295
4431,Bulgaria,2022-06-10,Moderna,497335
4432,Bulgaria,2022-06-10,Pfizer/BioNTech,2905481
4433,Bulgaria,2022-06-17,Johnson&Johnson,520647
4434,Bulgaria,2022-06-17,Moderna,497440
4435,Bulgaria,2022-06-17,Pfizer/BioNTech,2907071
4436,Bulgaria,2022-06-24,Johnson&Johnson,520992
4437,Bulgaria,2022-06-24,Moderna,497538
4438,Bulgaria,2022-06-24,Pfizer/BioNTech,2908641
4439,Bulgaria,2022-07-01,Johnson&Johnson,521434
4440,Bulgaria,2022-07-01,Moderna,498129
4441,Bulgaria,2022-07-01,Pfizer/BioNTech,2913421
4442,Bulgaria,2022-07-08,Johnson&Johnson,521910
4443,Bulgaria,2022-07-08,Moderna,499151
4444,Bulgaria,2022-07-08,Pfizer/BioNTech,2922292
4445,Bulgaria,2022-07-15,Johnson&Johnson,522522
4446,Bulgaria,2022-07-15,Moderna,500688
4447,Bulgaria,2022-07-15,Pfizer/BioNTech,2936802
4448,Bulgaria,2022-07-22,Johnson&Johnson,523125
4449,Bulgaria,2022-07-22,Moderna,502374
4450,Bulgaria,2022-07-22,Pfizer/BioNTech,2952649
4451,Bulgaria,2022-07-29,Johnson&Johnson,523819
4452,Bulgaria,2022-07-29,Moderna,503948
4453,Bulgaria,2022-07-29,Pfizer/BioNTech,2966822
4454,Bulgaria,2022-08-05,Johnson&Johnson,524501
4455,Bulgaria,2022-08-05,Moderna,504805
4456,Bulgaria,2022-08-05,Pfizer/BioNTech,2979402
4457,Bulgaria,2022-08-12,Johnson&Johnson,525164
4458,Bulgaria,2022-08-12,Moderna,505662
4459,Bulgaria,2022-08-12,Pfizer/BioNTech,2991031
4460,Bulgaria,2022-08-19,Johnson&Johnson,525805
4461,Bulgaria,2022-08-19,Moderna,506395
4462,Bulgaria,2022-08-19,Pfizer/BioNTech,2999638
4463,Bulgaria,2022-08-26,Johnson&Johnson,526350
4464,Bulgaria,2022-08-26,Moderna,506955
4465,Bulgaria,2022-08-26,Pfizer/BioNTech,3006991
4466,Bulgaria,2022-09-02,Johnson&Johnson,526818
4467,Bulgaria,2022-09-02,Moderna,507306
4468,Bulgaria,2022-09-02,Pfizer/BioNTech,3012301
4469,Bulgaria,2022-09-09,Johnson&Johnson,527164
4470,Bulgaria,2022-09-09,Moderna,507608
4471,Bulgaria,2022-09-09,Pfizer/BioNTech,3015953
4472,Bulgaria,2022-09-16,Johnson&Johnson,527470
4473,Bulgaria,2022-09-16,Moderna,507804
4474,Bulgaria,2022-09-16,Pfizer/BioNTech,3021409
4475,Bulgaria,2022-09-23,Johnson&Johnson,527663
4476,Bulgaria,2022-09-23,Moderna,508022
4477,Bulgaria,2022-09-23,Pfizer/BioNTech,3026695
4478,Bulgaria,2022-09-30,Johnson&Johnson,527896
4479,Bulgaria,2022-09-30,Moderna,508459
4480,Bulgaria,2022-09-30,Pfizer/BioNTech,3034043
4481,Bulgaria,2022-10-07,Johnson&Johnson,528059
4482,Bulgaria,2022-10-07,Moderna,508934
4483,Bulgaria,2022-10-07,Pfizer/BioNTech,3041017
4484,Bulgaria,2022-10-14,Johnson&Johnson,528274
4485,Bulgaria,2022-10-14,Moderna,509413
4486,Bulgaria,2022-10-14,Pfizer/BioNTech,3048580
4487,Bulgaria,2022-10-21,Johnson&Johnson,528391
4488,Bulgaria,2022-10-21,Moderna,509764
4489,Bulgaria,2022-10-21,Pfizer/BioNTech,3054711
4490,Bulgaria,2022-10-28,Johnson&Johnson,528521
4491,Bulgaria,2022-10-28,Moderna,510006
4492,Bulgaria,2022-10-28,Pfizer/BioNTech,3060278
4493,Bulgaria,2022-11-04,Johnson&Johnson,528660
4494,Bulgaria,2022-11-04,Moderna,510216
4495,Bulgaria,2022-11-04,Pfizer/BioNTech,3064695
4496,Bulgaria,2022-11-11,Johnson&Johnson,528766
4497,Bulgaria,2022-11-11,Moderna,510359
4498,Bulgaria,2022-11-11,Pfizer/BioNTech,3068996
4499,Canada,2020-12-19,Pfizer/BioNTech,12360
4500,Canada,2020-12-26,Pfizer/BioNTech,46153
4501,Canada,2021-01-02,Moderna,1778
4502,Canada,2021-01-02,Pfizer/BioNTech,67350
4503,Canada,2021-01-09,Moderna,46739
4504,Canada,2021-01-09,Pfizer/BioNTech,168861
4505,Canada,2021-01-16,Moderna,76759
4506,Canada,2021-01-16,Pfizer/BioNTech,304252
4507,Canada,2021-01-23,Moderna,145016
4508,Canada,2021-01-23,Pfizer/BioNTech,394843
4509,Canada,2021-01-30,Moderna,175760
4510,Canada,2021-01-30,Pfizer/BioNTech,440208
4511,Canada,2021-02-06,Moderna,195489
4512,Canada,2021-02-06,Pfizer/BioNTech,500380
4513,Canada,2021-02-13,Moderna,237442
4514,Canada,2021-02-13,Pfizer/BioNTech,575145
4515,Canada,2021-02-20,Moderna,394662
4516,Canada,2021-02-20,Pfizer/BioNTech,1126951
4517,Canada,2021-02-27,Moderna,437566
4518,Canada,2021-02-27,Pfizer/BioNTech,1482190
4519,Canada,2021-03-06,Moderna,517476
4520,Canada,2021-03-06,Pfizer/BioNTech,1910930
4521,Canada,2021-03-13,Moderna,581812
4522,Canada,2021-03-13,Oxford/AstraZeneca,75900
4523,Canada,2021-03-13,Pfizer/BioNTech,2440027
4524,Canada,2021-03-20,Moderna,788947
4525,Canada,2021-03-20,Oxford/AstraZeneca,309989
4526,Canada,2021-03-20,Pfizer/BioNTech,2931403
4527,Canada,2021-03-27,Moderna,937452
4528,Canada,2021-03-27,Oxford/AstraZeneca,438922
4529,Canada,2021-03-27,Pfizer/BioNTech,3823835
4530,Canada,2021-04-03,Moderna,1108412
4531,Canada,2021-04-03,Oxford/AstraZeneca,485069
4532,Canada,2021-04-03,Pfizer/BioNTech,4910486
4533,Canada,2021-04-10,Moderna,1395102
4534,Canada,2021-04-10,Oxford/AstraZeneca,717052
4535,Canada,2021-04-10,Pfizer/BioNTech,6032437
4536,Canada,2021-04-17,Moderna,1837142
4537,Canada,2021-04-17,Oxford/AstraZeneca,1108149
4538,Canada,2021-04-17,Pfizer/BioNTech,7182871
4539,Canada,2021-04-24,Moderna,2275546
4540,Canada,2021-04-24,Oxford/AstraZeneca,1684437
4541,Canada,2021-04-24,Pfizer/BioNTech,8196653
4542,Canada,2021-05-01,Moderna,2588182
4543,Canada,2021-05-01,Oxford/AstraZeneca,2060977
4544,Canada,2021-05-01,Pfizer/BioNTech,9258143
4545,Canada,2021-05-08,Moderna,2966045
4546,Canada,2021-05-08,Oxford/AstraZeneca,2180942
4547,Canada,2021-05-08,Pfizer/BioNTech,10883178
4548,Canada,2021-05-15,Moderna,3576990
4549,Canada,2021-05-15,Oxford/AstraZeneca,2214939
4550,Canada,2021-05-15,Pfizer/BioNTech,12856273
4551,Canada,2021-05-22,Moderna,4065077
4552,Canada,2021-05-22,Oxford/AstraZeneca,2219361
4553,Canada,2021-05-22,Pfizer/BioNTech,14991375
4554,Canada,2021-05-29,Moderna,4627756
4555,Canada,2021-05-29,Oxford/AstraZeneca,2264750
4556,Canada,2021-05-29,Pfizer/BioNTech,16781130
4557,Canada,2021-06-05,Moderna,5019209
4558,Canada,2021-06-05,Oxford/AstraZeneca,2368969
4559,Canada,2021-06-05,Pfizer/BioNTech,18945479
4560,Canada,2021-06-12,Moderna,5392212
4561,Canada,2021-06-12,Oxford/AstraZeneca,2500235
4562,Canada,2021-06-12,Pfizer/BioNTech,21351774
4563,Canada,2021-06-19,Moderna,5892721
4564,Canada,2021-06-19,Oxford/AstraZeneca,2620750
4565,Canada,2021-06-19,Pfizer/BioNTech,23818450
4566,Canada,2021-06-26,Moderna,7567387
4567,Canada,2021-06-26,Oxford/AstraZeneca,2709503
4568,Canada,2021-06-26,Pfizer/BioNTech,25575834
4569,Canada,2021-07-03,Moderna,8945514
4570,Canada,2021-07-03,Oxford/AstraZeneca,2741580
4571,Canada,2021-07-03,Pfizer/BioNTech,27702396
4572,Canada,2021-07-10,Moderna,10372585
4573,Canada,2021-07-10,Oxford/AstraZeneca,2763608
4574,Canada,2021-07-10,Pfizer/BioNTech,29670161
4575,Canada,2021-07-17,Moderna,11384432
4576,Canada,2021-07-17,Oxford/AstraZeneca,2772858
4577,Canada,2021-07-17,Pfizer/BioNTech,31282434
4578,Canada,2021-07-24,Moderna,11906209
4579,Canada,2021-07-24,Oxford/AstraZeneca,2778864
4580,Canada,2021-07-24,Pfizer/BioNTech,33075248
4581,Canada,2021-07-31,Moderna,12205417
4582,Canada,2021-07-31,Oxford/AstraZeneca,2784244
4583,Canada,2021-07-31,Pfizer/BioNTech,34499349
4584,Canada,2021-08-07,Moderna,12421740
4585,Canada,2021-08-07,Oxford/AstraZeneca,2788899
4586,Canada,2021-08-07,Pfizer/BioNTech,35320450
4587,Canada,2021-08-14,Moderna,12661548
4588,Canada,2021-08-14,Oxford/AstraZeneca,2792702
4589,Canada,2021-08-14,Pfizer/BioNTech,36023261
4590,Canada,2021-08-21,Moderna,12870327
4591,Canada,2021-08-21,Oxford/AstraZeneca,2795267
4592,Canada,2021-08-21,Pfizer/BioNTech,36648817
4593,Canada,2021-08-28,Moderna,13047665
4594,Canada,2021-08-28,Pfizer/BioNTech,37197478
4595,Canada,2021-09-04,Moderna,13192599
4596,Canada,2021-09-04,Pfizer/BioNTech,37668256
4597,Canada,2021-09-11,Moderna,13335606
4598,Canada,2021-09-11,Pfizer/BioNTech,38143708
4599,Canada,2021-09-18,Moderna,13480076
4600,Canada,2021-09-18,Pfizer/BioNTech,38635276
4601,Canada,2021-09-25,Moderna,13645000
4602,Canada,2021-09-25,Oxford/AstraZeneca,2795596
4603,Canada,2021-09-25,Pfizer/BioNTech,39197999
4604,Canada,2021-10-02,Moderna,13762311
4605,Canada,2021-10-02,Oxford/AstraZeneca,2796380
4606,Canada,2021-10-02,Pfizer/BioNTech,39644090
4607,Canada,2021-10-09,Moderna,13877343
4608,Canada,2021-10-09,Oxford/AstraZeneca,2797075
4609,Canada,2021-10-09,Pfizer/BioNTech,40073574
4610,Canada,2021-10-16,Moderna,13991472
4611,Canada,2021-10-16,Oxford/AstraZeneca,2797856
4612,Canada,2021-10-16,Pfizer/BioNTech,40476212
4613,Canada,2021-10-23,Moderna,14117012
4614,Canada,2021-10-23,Oxford/AstraZeneca,2798729
4615,Canada,2021-10-23,Pfizer/BioNTech,40874856
4616,Canada,2021-10-30,Moderna,14231859
4617,Canada,2021-10-30,Pfizer/BioNTech,41241914
4618,Canada,2021-11-06,Moderna,14335040
4619,Canada,2021-11-06,Oxford/AstraZeneca,2799417
4620,Canada,2021-11-06,Pfizer/BioNTech,41582874
4621,Canada,2021-11-13,Johnson&Johnson,135
4622,Canada,2021-11-13,Moderna,14439822
4623,Canada,2021-11-13,Oxford/AstraZeneca,2799540
4624,Canada,2021-11-13,Pfizer/BioNTech,41966248
4625,Canada,2021-11-20,Johnson&Johnson,2500
4626,Canada,2021-11-20,Moderna,14569536
4627,Canada,2021-11-20,Pfizer/BioNTech,42347360
4628,Canada,2021-11-27,Johnson&Johnson,5184
4629,Canada,2021-11-27,Moderna,14703849
4630,Canada,2021-11-27,Oxford/AstraZeneca,2799658
4631,Canada,2021-11-27,Pfizer/BioNTech,42890419
4632,Canada,2021-12-04,Johnson&Johnson,6771
4633,Canada,2021-12-04,Moderna,14848486
4634,Canada,2021-12-04,Oxford/AstraZeneca,2800492
4635,Canada,2021-12-04,Pfizer/BioNTech,43750128
4636,Canada,2021-12-11,Johnson&Johnson,8406
4637,Canada,2021-12-11,Moderna,15045665
4638,Canada,2021-12-11,Oxford/AstraZeneca,2802005
4639,Canada,2021-12-11,Pfizer/BioNTech,44723657
4640,Canada,2021-12-18,Johnson&Johnson,9578
4641,Canada,2021-12-18,Moderna,15420590
4642,Canada,2021-12-18,Oxford/AstraZeneca,2803207
4643,Canada,2021-12-18,Pfizer/BioNTech,46179737
4644,Canada,2021-12-25,Johnson&Johnson,10785
4645,Canada,2021-12-25,Moderna,16075295
4646,Canada,2021-12-25,Oxford/AstraZeneca,2804181
4647,Canada,2021-12-25,Pfizer/BioNTech,47705307
4648,Canada,2022-01-01,Johnson&Johnson,11621
4649,Canada,2022-01-01,Moderna,16867350
4650,Canada,2022-01-01,Oxford/AstraZeneca,2804637
4651,Canada,2022-01-01,Pfizer/BioNTech,48649614
4652,Canada,2022-01-08,Johnson&Johnson,12955
4653,Canada,2022-01-08,Moderna,18291982
4654,Canada,2022-01-08,Oxford/AstraZeneca,2805376
4655,Canada,2022-01-08,Pfizer/BioNTech,49704847
4656,Canada,2022-01-15,Johnson&Johnson,14091
4657,Canada,2022-01-15,Moderna,19878625
4658,Canada,2022-01-15,Oxford/AstraZeneca,2806441
4659,Canada,2022-01-15,Pfizer/BioNTech,50646492
4660,Canada,2022-01-22,Johnson&Johnson,15300
4661,Canada,2022-01-22,Moderna,21071535
4662,Canada,2022-01-22,Oxford/AstraZeneca,2807740
4663,Canada,2022-01-22,Pfizer/BioNTech,51587653
4664,Canada,2022-01-30,Johnson&Johnson,16215
4665,Canada,2022-01-30,Moderna,21809156
4666,Canada,2022-01-30,Oxford/AstraZeneca,2808800
4667,Canada,2022-01-30,Pfizer/BioNTech,52546859
4668,Canada,2022-02-06,Johnson&Johnson,16921
4669,Canada,2022-02-06,Moderna,22161502
4670,Canada,2022-02-06,Oxford/AstraZeneca,2809644
4671,Canada,2022-02-06,Pfizer/BioNTech,53275635
4672,Canada,2022-02-13,Johnson&Johnson,17644
4673,Canada,2022-02-13,Moderna,22389238
4674,Canada,2022-02-13,Oxford/AstraZeneca,2810401
4675,Canada,2022-02-13,Pfizer/BioNTech,53843325
4676,Canada,2022-02-20,Johnson&Johnson,18082
4677,Canada,2022-02-20,Moderna,22525121
4678,Canada,2022-02-20,Oxford/AstraZeneca,2811262
4679,Canada,2022-02-20,Pfizer/BioNTech,54288509
4680,Canada,2022-02-27,Johnson&Johnson,18447
4681,Canada,2022-02-27,Moderna,22607582
4682,Canada,2022-02-27,Oxford/AstraZeneca,2811530
4683,Canada,2022-02-27,Pfizer/BioNTech,54577892
4684,Canada,2022-03-06,Johnson&Johnson,18890
4685,Canada,2022-03-06,Moderna,22652159
4686,Canada,2022-03-06,Oxford/AstraZeneca,2811663
4687,Canada,2022-03-06,Pfizer/BioNTech,54775831
4688,Canada,2022-03-13,Johnson&Johnson,19132
4689,Canada,2022-03-13,Moderna,22688789
4690,Canada,2022-03-13,Oxford/AstraZeneca,2811871
4691,Canada,2022-03-13,Pfizer/BioNTech,54941595
4692,Canada,2022-03-20,Johnson&Johnson,19489
4693,Canada,2022-03-20,Moderna,22719974
4694,Canada,2022-03-20,Oxford/AstraZeneca,2812040
4695,Canada,2022-03-20,Pfizer/BioNTech,55108145
4696,Canada,2022-03-27,Johnson&Johnson,19744
4697,Canada,2022-03-27,Moderna,22750944
4698,Canada,2022-03-27,Oxford/AstraZeneca,2812309
4699,Canada,2022-03-27,Pfizer/BioNTech,55256330
4700,Canada,2022-04-03,Johnson&Johnson,20013
4701,Canada,2022-04-03,Moderna,22792342
4702,Canada,2022-04-03,Oxford/AstraZeneca,2812436
4703,Canada,2022-04-03,Pfizer/BioNTech,55455912
4704,Canada,2022-04-10,Johnson&Johnson,20216
4705,Canada,2022-04-10,Moderna,22884164
4706,Canada,2022-04-10,Oxford/AstraZeneca,2812492
4707,Canada,2022-04-10,Pfizer/BioNTech,55713839
4708,Canada,2022-04-24,Johnson&Johnson,20587
4709,Canada,2022-04-24,Moderna,23197962
4710,Canada,2022-04-24,Novavax,1085
4711,Canada,2022-04-24,Pfizer/BioNTech,56399253
4712,Canada,2022-05-08,Johnson&Johnson,20991
4713,Canada,2022-05-08,Moderna,23526609
4714,Canada,2022-05-08,Novavax,5153
4715,Canada,2022-05-08,Pfizer/BioNTech,57038377
4716,Canada,2022-05-22,Johnson&Johnson,21455
4717,Canada,2022-05-22,Medicago,285
4718,Canada,2022-05-22,Moderna,23758309
4719,Canada,2022-05-22,Novavax,7800
4720,Canada,2022-05-22,Pfizer/BioNTech,57488422
4721,Canada,2022-06-19,Johnson&Johnson,22084
4722,Canada,2022-06-19,Medicago,518
4723,Canada,2022-06-19,Moderna,24087160
4724,Canada,2022-06-19,Novavax,12114
4725,Canada,2022-06-19,Oxford/AstraZeneca,2812606
4726,Canada,2022-06-19,Pfizer/BioNTech,58113606
4727,Canada,2022-07-17,Johnson&Johnson,22408
4728,Canada,2022-07-17,Medicago,580
4729,Canada,2022-07-17,Moderna,24380856
4730,Canada,2022-07-17,Novavax,18691
4731,Canada,2022-07-17,Oxford/AstraZeneca,2812975
4732,Canada,2022-07-17,Pfizer/BioNTech,58721645
4733,Canada,2022-08-14,Johnson&Johnson,22748
4734,Canada,2022-08-14,Medicago,863
4735,Canada,2022-08-14,Moderna,24803177
4736,Canada,2022-08-14,Novavax,21948
4737,Canada,2022-08-14,Oxford/AstraZeneca,2813475
4738,Canada,2022-08-14,Pfizer/BioNTech,59570614
4739,Canada,2022-09-11,Johnson&Johnson,23041
4740,Canada,2022-09-11,Moderna,25160983
4741,Canada,2022-09-11,Novavax,23868
4742,Canada,2022-09-11,Oxford/AstraZeneca,2813832
4743,Canada,2022-09-11,Pfizer/BioNTech,60249566
4744,Canada,2022-10-09,Johnson&Johnson,23265
4745,Canada,2022-10-09,Moderna,26922874
4746,Canada,2022-10-09,Novavax,25477
4747,Canada,2022-10-09,Oxford/AstraZeneca,2814449
4748,Canada,2022-10-09,Pfizer/BioNTech,60482824
4749,Canada,2022-11-06,Johnson&Johnson,23414
4750,Canada,2022-11-06,Moderna,28263680
4751,Canada,2022-11-06,Novavax,27087
4752,Canada,2022-11-06,Oxford/AstraZeneca,2815029
4753,Canada,2022-11-06,Pfizer/BioNTech,61921876
4754,Chile,2020-12-24,Pfizer/BioNTech,420
4755,Chile,2020-12-25,Pfizer/BioNTech,5199
4756,Chile,2020-12-26,Pfizer/BioNTech,8339
4757,Chile,2020-12-27,Pfizer/BioNTech,8648
4758,Chile,2021-01-04,Pfizer/BioNTech,9053
4759,Chile,2021-01-05,Pfizer/BioNTech,10497
4760,Chile,2021-01-06,Pfizer/BioNTech,10703
4761,Chile,2021-01-08,Pfizer/BioNTech,10704
4762,Chile,2021-01-10,Pfizer/BioNTech,10705
4763,Chile,2021-01-11,Pfizer/BioNTech,10706
4764,Chile,2021-01-13,Pfizer/BioNTech,11739
4765,Chile,2021-01-14,Pfizer/BioNTech,18656
4766,Chile,2021-01-15,Pfizer/BioNTech,22087
4767,Chile,2021-01-16,Pfizer/BioNTech,22177
4768,Chile,2021-01-18,Pfizer/BioNTech,33226
4769,Chile,2021-01-19,Pfizer/BioNTech,52593
4770,Chile,2021-01-20,Pfizer/BioNTech,61902
4771,Chile,2021-01-21,Pfizer/BioNTech,64958
4772,Chile,2021-01-22,Pfizer/BioNTech,65373
