,location,date,vaccine,total_vaccinations
105,Argentina,2021-02-11,Sinopharm/Beijing,87
106,Argentina,2021-02-11,Sputnik V,610241
107,Argentina,2021-02-12,Oxford/AstraZeneca,155
108,Argentina,2021-02-12,Sinopharm/Beijing,88
109,Argentina,2021-02-12,Sputnik V,626081
110,Argentina,2021-02-13,Oxford/AstraZeneca,157
111,Argentina,2021-02-13,Sinopharm/Beijing,90
112,Argentina,2021-02-13,Sputnik V,629113
113,Argentina,2021-02-14,Sinopharm/Beijing,92
114,Argentina,2021-02-14,Sputnik V,629263
115,Argentina,2021-02-15,Pfizer/BioNTech,11
116,Argentina,2021-02-15,Sinopharm/Beijing,94
117,Argentina,2021-02-15,Sputnik V,630578
118,Argentina,2021-02-16,Oxford/AstraZeneca,169
119,Argentina,2021-02-16,Pfizer/BioNTech,12
120,Argentina,2021-02-16,Sinopharm/Beijing,96
121,Argentina,2021-02-16,Sputnik V,631876
122,Argentina,2021-02-17,Oxford/AstraZeneca,180
123,Argentina,2021-02-17,Sinopharm/Beijing,99
124,Argentina,2021-02-17,Sputnik V,656274
125,Argentina,2021-02-18,Oxford/AstraZeneca,211
126,Argentina,2021-02-18,Pfizer/BioNTech,13
127,Argentina,2021-02-18,Sinopharm/Beijing,103
128,Argentina,2021-02-18,Sputnik V,720067
129,Argentina,2021-02-19,Oxford/AstraZeneca,395
130,Argentina,2021-02-19,Sinopharm/Beijing,104
131,Argentina,2021-02-19,Sputnik V,787780
132,Argentina,2021-02-20,Oxford/AstraZeneca,543
133,Argentina,2021-02-20,Sinopharm/Beijing,105
134,Argentina,2021-02-20,Sputnik V,820252
135,Argentina,2021-02-21,Oxford/AstraZeneca,944
136,Argentina,2021-02-21,Sputnik V,840031
137,Argentina,2021-02-22,Oxford/AstraZeneca,23545
138,Argentina,2021-02-22,Sputnik V,885009
139,Argentina,2021-02-23,Oxford/AstraZeneca,73746
140,Argentina,2021-02-23,Sinopharm/Beijing,107
141,Argentina,2021-02-23,Sputnik V,921770
142,Argentina,2021-02-24,Oxford/AstraZeneca,135826
143,Argentina,2021-02-24,Sinopharm/Beijing,110
144,Argentina,2021-02-24,Sputnik V,953523
145,Argentina,2021-02-25,Oxford/AstraZeneca,188994
146,Argentina,2021-02-25,Sinopharm/Beijing,114
147,Argentina,2021-02-25,Sputnik V,979839
148,Argentina,2021-02-26,Oxford/AstraZeneca,245055
149,Argentina,2021-02-26,Sinopharm/Beijing,123
150,Argentina,2021-02-26,Sputnik V,1005474
151,Argentina,2021-02-27,Oxford/AstraZeneca,258400
152,Argentina,2021-02-27,Sinopharm/Beijing,124
153,Argentina,2021-02-27,Sputnik V,1010032
154,Argentina,2021-02-28,Oxford/AstraZeneca,263750
155,Argentina,2021-02-28,Sinopharm/Beijing,125
156,Argentina,2021-02-28,Sputnik V,1010809
157,Argentina,2021-03-01,Oxford/AstraZeneca,317075
158,Argentina,2021-03-01,Sinopharm/Beijing,827
159,Argentina,2021-03-01,Sputnik V,1031354
160,Argentina,2021-03-02,Oxford/AstraZeneca,368722
161,Argentina,2021-03-02,Sinopharm/Beijing,5787
162,Argentina,2021-03-02,Sputnik V,1050381
163,Argentina,2021-03-03,Oxford/AstraZeneca,404714
164,Argentina,2021-03-03,Sinopharm/Beijing,23616
165,Argentina,2021-03-03,Sputnik V,1068065
166,Argentina,2021-03-04,Oxford/AstraZeneca,430430
167,Argentina,2021-03-04,Sinopharm/Beijing,87923
168,Argentina,2021-03-04,Sputnik V,1090127
169,Argentina,2021-03-05,Oxford/AstraZeneca,454728
170,Argentina,2021-03-05,Sinopharm/Beijing,154436
171,Argentina,2021-03-05,Sputnik V,1111070
172,Argentina,2021-03-06,Oxford/AstraZeneca,462644
173,Argentina,2021-03-06,Sinopharm/Beijing,196861
174,Argentina,2021-03-06,Sputnik V,1115672
175,Argentina,2021-03-07,Oxford/AstraZeneca,467618
176,Argentina,2021-03-07,Sinopharm/Beijing,203303
177,Argentina,2021-03-07,Sputnik V,1116049
178,Argentina,2021-03-08,Oxford/AstraZeneca,499198
179,Argentina,2021-03-08,Pfizer/BioNTech,14
180,Argentina,2021-03-08,Sinopharm/Beijing,256247
181,Argentina,2021-03-08,Sputnik V,1134030
182,Argentina,2021-03-09,Oxford/AstraZeneca,515538
183,Argentina,2021-03-09,Sinopharm/Beijing,319360
184,Argentina,2021-03-09,Sputnik V,1170389
185,Argentina,2021-03-10,Oxford/AstraZeneca,527625
186,Argentina,2021-03-10,Sinopharm/Beijing,418099
187,Argentina,2021-03-10,Sputnik V,1223546
188,Argentina,2021-03-11,Oxford/AstraZeneca,537567
189,Argentina,2021-03-11,Sinopharm/Beijing,502991
190,Argentina,2021-03-11,Sputnik V,1315568
191,Argentina,2021-03-12,Oxford/AstraZeneca,545091
192,Argentina,2021-03-12,Sinopharm/Beijing,564134
193,Argentina,2021-03-12,Sputnik V,1408583
194,Argentina,2021-03-13,Oxford/AstraZeneca,548066
195,Argentina,2021-03-13,Sinopharm/Beijing,574640
196,Argentina,2021-03-13,Sputnik V,1441495
197,Argentina,2021-03-14,Oxford/AstraZeneca,548115
198,Argentina,2021-03-14,Sinopharm/Beijing,581298
199,Argentina,2021-03-14,Sputnik V,1443961
200,Argentina,2021-03-15,Oxford/AstraZeneca,554538
201,Argentina,2021-03-15,Sinopharm/Beijing,621919
202,Argentina,2021-03-15,Sputnik V,1534553
203,Argentina,2021-03-16,Oxford/AstraZeneca,557663
204,Argentina,2021-03-16,Sinopharm/Beijing,656595
205,Argentina,2021-03-16,Sputnik V,1630504
206,Argentina,2021-03-17,Oxford/AstraZeneca,560374
207,Argentina,2021-03-17,Sinopharm/Beijing,679565
208,Argentina,2021-03-17,Sputnik V,1744416
209,Argentina,2021-03-18,Moderna,2
210,Argentina,2021-03-18,Oxford/AstraZeneca,562059
211,Argentina,2021-03-18,Sinopharm/Beijing,701714
212,Argentina,2021-03-18,Sputnik V,1859550
213,Argentina,2021-03-19,Oxford/AstraZeneca,563906
214,Argentina,2021-03-19,Pfizer/BioNTech,15
215,Argentina,2021-03-19,Sinopharm/Beijing,725318
216,Argentina,2021-03-19,Sputnik V,1960305
217,Argentina,2021-03-20,Oxford/AstraZeneca,564247
218,Argentina,2021-03-20,Sinopharm/Beijing,729257
219,Argentina,2021-03-20,Sputnik V,2006907
220,Argentina,2021-03-21,CanSino,3
221,Argentina,2021-03-21,Oxford/AstraZeneca,564270
222,Argentina,2021-03-21,Sinopharm/Beijing,729606
223,Argentina,2021-03-21,Sputnik V,2026166
224,Argentina,2021-03-22,Oxford/AstraZeneca,565741
225,Argentina,2021-03-22,Sinopharm/Beijing,747004
226,Argentina,2021-03-22,Sputnik V,2090367
227,Argentina,2021-03-23,Oxford/AstraZeneca,570430
228,Argentina,2021-03-23,Sinopharm/Beijing,760563
229,Argentina,2021-03-23,Sputnik V,2178608
230,Argentina,2021-03-24,Oxford/AstraZeneca,571708
231,Argentina,2021-03-24,Sinopharm/Beijing,763704
232,Argentina,2021-03-24,Sputnik V,2211658
233,Argentina,2021-03-25,Oxford/AstraZeneca,573059
234,Argentina,2021-03-25,Sinopharm/Beijing,774608
235,Argentina,2021-03-25,Sputnik V,2302610
236,Argentina,2021-03-26,Oxford/AstraZeneca,575714
237,Argentina,2021-03-26,Sinopharm/Beijing,783781
238,Argentina,2021-03-26,Sputnik V,2384358
239,Argentina,2021-03-27,Oxford/AstraZeneca,576605
240,Argentina,2021-03-27,Sinopharm/Beijing,786089
241,Argentina,2021-03-27,Sputnik V,2436254
242,Argentina,2021-03-28,Oxford/AstraZeneca,577508
243,Argentina,2021-03-28,Pfizer/BioNTech,17
244,Argentina,2021-03-28,Sinopharm/Beijing,786564
245,Argentina,2021-03-28,Sputnik V,2455703
246,Argentina,2021-03-29,Oxford/AstraZeneca,581095
247,Argentina,2021-03-29,Pfizer/BioNTech,18
248,Argentina,2021-03-29,Sinopharm/Beijing,798068
249,Argentina,2021-03-29,Sputnik V,2560812
250,Argentina,2021-03-30,Oxford/AstraZeneca,583969
251,Argentina,2021-03-30,Pfizer/BioNTech,19
252,Argentina,2021-03-30,Sinopharm/Beijing,808567
253,Argentina,2021-03-30,Sputnik V,2710479
254,Argentina,2021-03-31,Oxford/AstraZeneca,603912
255,Argentina,2021-03-31,Sinopharm/Beijing,820580
256,Argentina,2021-03-31,Sputnik V,2853501
257,Argentina,2021-04-01,Oxford/AstraZeneca,629488
258,Argentina,2021-04-01,Sinopharm/Beijing,824343
259,Argentina,2021-04-01,Sputnik V,2941317
260,Argentina,2021-04-02,Oxford/AstraZeneca,642310
261,Argentina,2021-04-02,Sinopharm/Beijing,826664
262,Argentina,2021-04-02,Sputnik V,2994338
263,Argentina,2021-04-03,Oxford/AstraZeneca,660954
264,Argentina,2021-04-03,Sinopharm/Beijing,827755
265,Argentina,2021-04-03,Sputnik V,3049081
